id,week,practice_recruitment,cases,sinwe,coswe
1,1,1,1,0.12053668025532305,0.992708874098054
1,2,1,0,0.23931566428755774,0.970941817426052
1,3,2,0,0.3546048870425356,0.9350162426854148
1,4,5,0,0.4647231720437685,0.8854560256532099
1,5,7,1,0.5680647467311558,0.8229838658936564
1,6,8,1,0.6631226582407952,0.7485107481711011
1,7,10,2,0.7485107481711011,0.6631226582407953
1,8,13,0,0.8229838658936564,0.5680647467311559
1,9,15,0,0.8854560256532099,0.4647231720437686
1,10,20,1,0.9350162426854148,0.35460488704253557
1,11,21,0,0.970941817426052,0.23931566428755804
1,12,21,0,0.992708874098054,0.120536680255323
1,13,21,1,1,-1.6081428723391245e-16
1,14,21,1,0.992708874098054,-0.12053668025532288
1,15,24,0,0.9709418174260521,-0.2393156642875575
1,16,24,0,0.9350162426854148,-0.35460488704253545
1,17,24,1,0.8854560256532099,-0.4647231720437685
1,18,24,1,0.8229838658936565,-0.5680647467311557
1,19,24,2,0.7485107481711013,-0.663122658240795
1,20,24,0,0.6631226582407952,-0.7485107481711012
1,21,24,1,0.5680647467311558,-0.8229838658936564
1,22,24,1,0.46472317204376906,-0.8854560256532096
1,23,24,0,0.35460488704253584,-0.9350162426854147
1,24,25,0,0.23931566428755768,-0.970941817426052
1,25,25,1,0.12053668025532308,-0.992708874098054
1,26,25,0,-3.216285744678249e-16,-1
1,27,25,1,-0.12053668025532283,-0.992708874098054
1,28,25,1,-0.23931566428755743,-0.9709418174260521
1,29,25,0,-0.3546048870425356,-0.9350162426854148
1,30,25,0,-0.46472317204376806,-0.8854560256532101
1,31,25,0,-0.5680647467311556,-0.8229838658936565
1,32,26,0,-0.663122658240795,-0.7485107481711013
1,33,26,1,-0.7485107481711011,-0.6631226582407952
1,34,26,1,-0.8229838658936564,-0.5680647467311559
1,35,26,1,-0.8854560256532096,-0.4647231720437691
1,36,26,2,-0.9350162426854147,-0.3546048870425359
1,37,26,1,-0.970941817426052,-0.23931566428755774
1,38,26,1,-0.992708874098054,-0.12053668025532357
1,39,26,0,-1,-1.836909530733566e-16
1,40,26,1,-0.992708874098054,0.1205366802553232
1,41,26,1,-0.9709418174260521,0.23931566428755738
1,42,26,0,-0.9350162426854148,0.35460488704253557
1,43,26,1,-0.8854560256532101,0.464723172043768
1,44,26,0,-0.822983865893657,0.5680647467311548
1,45,26,1,-0.7485107481711011,0.6631226582407952
1,46,27,1,-0.6631226582407955,0.7485107481711007
1,47,29,0,-0.5680647467311559,0.8229838658936564
1,48,30,0,-0.4647231720437684,0.88545602565321
1,49,31,0,-0.35460488704253595,0.9350162426854147
1,50,31,1,-0.2393156642875578,0.970941817426052
1,51,31,0,-0.12053668025532363,0.992708874098054
1,52,31,1,6.432571489356498e-16,1
1,53,31,1,0.12053668025532314,0.992708874098054
1,54,31,1,0.23931566428755732,0.9709418174260521
1,55,31,2,0.3546048870425355,0.9350162426854148
1,56,31,1,0.46472317204376795,0.8854560256532102
1,57,31,0,0.5680647467311555,0.8229838658936566
1,58,31,1,0.6631226582407952,0.7485107481711011
1,59,31,1,0.7485107481711007,0.6631226582407956
1,60,31,0,0.8229838658936558,0.5680647467311567
1,61,31,0,0.8854560256532099,0.46472317204376845
1,62,31,0,0.9350162426854147,0.354604887042536
1,63,31,0,0.970941817426052,0.23931566428755785
1,64,31,0,0.9927088740980539,0.12053668025532369
1,65,31,0,1,3.061515884555943e-16
1,66,31,0,0.992708874098054,-0.12053668025532309
1,67,31,0,0.9709418174260519,-0.23931566428755813
1,68,31,0,0.9350162426854148,-0.35460488704253545
1,69,31,0,0.8854560256532102,-0.4647231720437679
1,70,31,0,0.8229838658936571,-0.5680647467311547
1,71,31,0,0.7485107481711012,-0.6631226582407952
5,1,1,1,0.12053668025532305,0.992708874098054
5,2,1,0,0.23931566428755774,0.970941817426052
5,3,2,0,0.3546048870425356,0.9350162426854148
5,4,5,1,0.4647231720437685,0.8854560256532099
5,5,7,1,0.5680647467311558,0.8229838658936564
5,6,8,0,0.6631226582407952,0.7485107481711011
5,7,10,1,0.7485107481711011,0.6631226582407953
5,8,13,0,0.8229838658936564,0.5680647467311559
5,9,15,1,0.8854560256532099,0.4647231720437686
5,10,20,0,0.9350162426854148,0.35460488704253557
5,11,21,0,0.970941817426052,0.23931566428755804
5,12,21,1,0.992708874098054,0.120536680255323
5,13,21,1,1,-1.6081428723391245e-16
5,14,21,0,0.992708874098054,-0.12053668025532288
5,15,24,1,0.9709418174260521,-0.2393156642875575
5,16,24,0,0.9350162426854148,-0.35460488704253545
5,17,24,0,0.8854560256532099,-0.4647231720437685
5,18,24,0,0.8229838658936565,-0.5680647467311557
5,19,24,0,0.7485107481711013,-0.663122658240795
5,20,24,0,0.6631226582407952,-0.7485107481711012
5,21,24,0,0.5680647467311558,-0.8229838658936564
5,22,24,0,0.46472317204376906,-0.8854560256532096
5,23,24,0,0.35460488704253584,-0.9350162426854147
5,24,25,0,0.23931566428755768,-0.970941817426052
5,25,25,0,0.12053668025532308,-0.992708874098054
5,26,25,0,-3.216285744678249e-16,-1
5,27,25,0,-0.12053668025532283,-0.992708874098054
5,28,25,0,-0.23931566428755743,-0.9709418174260521
5,29,25,0,-0.3546048870425356,-0.9350162426854148
5,30,25,0,-0.46472317204376806,-0.8854560256532101
5,31,25,0,-0.5680647467311556,-0.8229838658936565
5,32,26,0,-0.663122658240795,-0.7485107481711013
5,33,26,0,-0.7485107481711011,-0.6631226582407952
5,34,26,0,-0.8229838658936564,-0.5680647467311559
5,35,26,0,-0.8854560256532096,-0.4647231720437691
5,36,26,0,-0.9350162426854147,-0.3546048870425359
5,37,26,0,-0.970941817426052,-0.23931566428755774
5,38,26,0,-0.992708874098054,-0.12053668025532357
5,39,26,1,-1,-1.836909530733566e-16
5,40,26,0,-0.992708874098054,0.1205366802553232
5,41,26,1,-0.9709418174260521,0.23931566428755738
5,42,26,1,-0.9350162426854148,0.35460488704253557
5,43,26,0,-0.8854560256532101,0.464723172043768
5,44,26,2,-0.822983865893657,0.5680647467311548
5,45,26,0,-0.7485107481711011,0.6631226582407952
5,46,27,1,-0.6631226582407955,0.7485107481711007
5,47,29,1,-0.5680647467311559,0.8229838658936564
5,48,30,1,-0.4647231720437684,0.88545602565321
5,49,31,0,-0.35460488704253595,0.9350162426854147
5,50,31,0,-0.2393156642875578,0.970941817426052
5,51,31,1,-0.12053668025532363,0.992708874098054
5,52,31,0,6.432571489356498e-16,1
5,53,31,0,0.12053668025532314,0.992708874098054
5,54,31,0,0.23931566428755732,0.9709418174260521
5,55,31,0,0.3546048870425355,0.9350162426854148
5,56,31,0,0.46472317204376795,0.8854560256532102
5,57,31,0,0.5680647467311555,0.8229838658936566
5,58,31,0,0.6631226582407952,0.7485107481711011
5,59,31,0,0.7485107481711007,0.6631226582407956
5,60,31,0,0.8229838658936558,0.5680647467311567
5,61,31,0,0.8854560256532099,0.46472317204376845
5,62,31,0,0.9350162426854147,0.354604887042536
5,63,31,0,0.970941817426052,0.23931566428755785
5,64,31,0,0.9927088740980539,0.12053668025532369
5,65,31,0,1,3.061515884555943e-16
5,66,31,0,0.992708874098054,-0.12053668025532309
5,67,31,0,0.9709418174260519,-0.23931566428755813
5,68,31,0,0.9350162426854148,-0.35460488704253545
5,69,31,0,0.8854560256532102,-0.4647231720437679
5,70,31,0,0.8229838658936571,-0.5680647467311547
5,71,31,0,0.7485107481711012,-0.6631226582407952
6,1,1,1,0.12053668025532305,0.992708874098054
6,2,1,0,0.23931566428755774,0.970941817426052
6,3,2,0,0.3546048870425356,0.9350162426854148
6,4,5,0,0.4647231720437685,0.8854560256532099
6,5,7,0,0.5680647467311558,0.8229838658936564
6,6,8,0,0.6631226582407952,0.7485107481711011
6,7,10,1,0.7485107481711011,0.6631226582407953
6,8,13,2,0.8229838658936564,0.5680647467311559
6,9,15,1,0.8854560256532099,0.4647231720437686
6,10,20,1,0.9350162426854148,0.35460488704253557
6,11,21,1,0.970941817426052,0.23931566428755804
6,12,21,0,0.992708874098054,0.120536680255323
6,13,21,0,1,-1.6081428723391245e-16
6,14,21,1,0.992708874098054,-0.12053668025532288
6,15,24,1,0.9709418174260521,-0.2393156642875575
6,16,24,1,0.9350162426854148,-0.35460488704253545
6,17,24,0,0.8854560256532099,-0.4647231720437685
6,18,24,0,0.8229838658936565,-0.5680647467311557
6,19,24,2,0.7485107481711013,-0.663122658240795
6,20,24,2,0.6631226582407952,-0.7485107481711012
6,21,24,1,0.5680647467311558,-0.8229838658936564
6,22,24,0,0.46472317204376906,-0.8854560256532096
6,23,24,2,0.35460488704253584,-0.9350162426854147
6,24,25,0,0.23931566428755768,-0.970941817426052
6,25,25,0,0.12053668025532308,-0.992708874098054
6,26,25,1,-3.216285744678249e-16,-1
6,27,25,1,-0.12053668025532283,-0.992708874098054
6,28,25,0,-0.23931566428755743,-0.9709418174260521
6,29,25,1,-0.3546048870425356,-0.9350162426854148
6,30,25,1,-0.46472317204376806,-0.8854560256532101
6,31,25,1,-0.5680647467311556,-0.8229838658936565
6,32,26,2,-0.663122658240795,-0.7485107481711013
6,33,26,0,-0.7485107481711011,-0.6631226582407952
6,34,26,5,-0.8229838658936564,-0.5680647467311559
6,35,26,1,-0.8854560256532096,-0.4647231720437691
6,36,26,3,-0.9350162426854147,-0.3546048870425359
6,37,26,4,-0.970941817426052,-0.23931566428755774
6,38,26,2,-0.992708874098054,-0.12053668025532357
6,39,26,0,-1,-1.836909530733566e-16
6,40,26,3,-0.992708874098054,0.1205366802553232
6,41,26,2,-0.9709418174260521,0.23931566428755738
6,42,26,3,-0.9350162426854148,0.35460488704253557
6,43,26,2,-0.8854560256532101,0.464723172043768
6,44,26,2,-0.822983865893657,0.5680647467311548
6,45,26,2,-0.7485107481711011,0.6631226582407952
6,46,27,1,-0.6631226582407955,0.7485107481711007
6,47,29,2,-0.5680647467311559,0.8229838658936564
6,48,30,0,-0.4647231720437684,0.88545602565321
6,49,31,0,-0.35460488704253595,0.9350162426854147
6,50,31,2,-0.2393156642875578,0.970941817426052
6,51,31,4,-0.12053668025532363,0.992708874098054
6,52,31,2,6.432571489356498e-16,1
6,53,31,1,0.12053668025532314,0.992708874098054
6,54,31,2,0.23931566428755732,0.9709418174260521
6,55,31,2,0.3546048870425355,0.9350162426854148
6,56,31,0,0.46472317204376795,0.8854560256532102
6,57,31,0,0.5680647467311555,0.8229838658936566
6,58,31,1,0.6631226582407952,0.7485107481711011
6,59,31,1,0.7485107481711007,0.6631226582407956
6,60,31,1,0.8229838658936558,0.5680647467311567
6,61,31,1,0.8854560256532099,0.46472317204376845
6,62,31,4,0.9350162426854147,0.354604887042536
6,63,31,0,0.970941817426052,0.23931566428755785
6,64,31,0,0.9927088740980539,0.12053668025532369
6,65,31,1,1,3.061515884555943e-16
6,66,31,0,0.992708874098054,-0.12053668025532309
6,67,31,0,0.9709418174260519,-0.23931566428755813
6,68,31,0,0.9350162426854148,-0.35460488704253545
6,69,31,0,0.8854560256532102,-0.4647231720437679
6,70,31,0,0.8229838658936571,-0.5680647467311547
6,71,31,0,0.7485107481711012,-0.6631226582407952
8,1,1,2,0.12053668025532305,0.992708874098054
8,2,1,3,0.23931566428755774,0.970941817426052
8,3,2,1,0.3546048870425356,0.9350162426854148
8,4,5,2,0.4647231720437685,0.8854560256532099
8,5,7,1,0.5680647467311558,0.8229838658936564
8,6,8,0,0.6631226582407952,0.7485107481711011
8,7,10,1,0.7485107481711011,0.6631226582407953
8,8,13,1,0.8229838658936564,0.5680647467311559
